librtmp1:arm64	2.4+20151223.gitfa8646d.1-3	arm64	148
libsasl2-2:arm64	2.1.28+dfsg1-9ubuntu3	arm64	180
libsasl2-modules-db:arm64	2.1.28+dfsg1-9ubuntu3	arm64	107
libseccomp2:arm64	2.6.0-2ubuntu5	arm64	212
libselinux1:arm64	3.9-4build1	arm64	292
libsemanage-common	3.9-1build1	all	20
libsemanage2:arm64	3.9-1build1	arm64	353
libsepol2:arm64	3.9-2	arm64	863
libsmartcols1:arm64	2.41.3-3ubuntu2	arm64	261
libsqlite3-0:arm64	3.46.1-9ubuntu0.2	arm64	1851
libss2:arm64	1.47.2-3ubuntu4	arm64	114
libssh2-1t64:arm64	1.11.1-1ubuntu0.26.04.3	arm64	473
libssl3t64:arm64	3.5.5-1ubuntu3.4	arm64	8018
libstdc++6:arm64	16-20260322-1ubuntu1	arm64	3220
libsystemd0:arm64	259.5-0ubuntu3.4	arm64	1266
libtasn1-6:arm64	4.21.0-2	arm64	167
libtinfo6:arm64	6.6+20251231-1	arm64	677
libtirpc-common	1.3.7-0.1	all	27
libtirpc3t64:arm64	1.3.7-0.1	arm64	235
libudev1:arm64	259.5-0ubuntu3.4	arm64	394
libunistring5:arm64	1.3-2build1	arm64	2061
libuuid1:arm64	2.41.3-3ubuntu2	arm64	122
libxtables12:arm64	1.8.11-2ubuntu3	arm64	104
libxxhash0:arm64	0.8.3-2build1	arm64	85
libzstd1:arm64	1.5.7+dfsg-3	arm64	666
locales	2.43-2ubuntu2.3	all	15802
login.defs	1:4.17.4-2ubuntu3	all	103
login:arm64	1:4.16.0-2+really2.41.3-3ubuntu2	arm64	272
logsave:arm64	1.47.2-3ubuntu4	arm64	112
mawk:arm64	1.3.4.20260129-1	arm64	302
media-types	14.0.0build1	all	99
mount:arm64	2.41.3-3ubuntu2	arm64	524
ncurses-base	6.6+20251231-1	all	393
ncurses-bin:arm64	6.6+20251231-1	arm64	923
netbase	6.5build1	all	35
openssh-client:arm64	1:10.2p1-2ubuntu3.5	arm64	3745
openssl-provider-legacy:arm64	3.5.5-1ubuntu3.4	arm64	415
openssl:arm64	3.5.5-1ubuntu3.4	arm64	2539
passwd:arm64	1:4.17.4-2ubuntu3	arm64	4792
